source_id,target_id
3648,819
9012,8024
7314,4572
3358,17870
2848,19349
13825,1041
976,3070
7164,7623
16559,19726
869,18390
6515,17856
13746,7223
14719,19309
9115,212
5231,13848
11149,9105
5094,7055
11029,3349
3039,12449
3169,11763
11270,19782
8667,1423
15054,17571
4090,12403
2582,18089
9606,11850
18918,6300
2279,1501
7467,9482
2614,7628
3309,12455
9108,14857
11954,5329
12130,11641
6865,8748
2339,19960
5607,17502
8021,5354
15147,12433
8845,18250
7196,10626
1832,7505
1051,10336
13145,8773
2168,6913
18585,10311
6967,16358
12964,15035
4681,8679
4575,8081
18394,17661
8609,19155
14038,19121
13087,11861
7186,4532
16696,16171
2978,1543
3592,5008
5242,13833
19543,2081
12608,12504
19526,15337
17338,8238
18128,376
3753,17595
8743,11146
3655,9617
14246,5182
14867,106
8630,16403
5854,16635
3486,9779
16635,19954
6517,5008
12252,5293
17674,17378
18,19626
10621,16010
638,3665
11894,10076
7846,1898
7892,18591
2580,2806
15924,2267
17455,4120
4207,15574
18015,5410
8685,17290
19876,13865
6940,17671
6591,10214
13074,12236
14355,16959
14794,3965
8123,7362
2098,11078
689,19277
18150,7540
19282,7216
235,2326
1929,7501
2208,1029
10827,2321
16847,7798
9125,15906
7020,17669
4335,18711
18881,15488
7962,15498
13338,6239
3090,3176
14124,11609
13879,13470
15303,1775
3224,1986
13193,11118
3580,8147
6278,6232
17573,14700
4593,13824
6012,9127
15159,8185
2470,14520
18033,3208
1657,17713
483,3056
7745,5449
13317,15913
15773,7004
13141,1921
5394,12418
70,12793
8690,14909
9347,13861
18211,15947
5072,6222
9722,7133
1916,18978
17766,1997
10276,1873
1643,19142
15623,16477
17403,5158
1863,16640
2625,6089
2245,19498
2226,7707
13230,3928
18667,8067
18970,19481
1302,2686
13737,19125
18521,17130
10366,8544
6693,10295
7821,8703
12969,4288
9830,14982
10360,2377
305,15017
18448,3276
2400,17617
6984,16576
8690,4340
11436,2254
8004,12108
9338,5169
14358,17800
9912,17332
256,18173
9810,3394
4400,8666
3782,3507
18128,5093
8924,9232
19819,6901
11235,6671
8650,16561
16008,8228
1664,3024
13879,9066
1444,116
10929,4286
8583,5294
14478,18077
14014,18379
316,3665
2465,4884
17877,1180
12098,19087
18105,4852
14083,4176
1370,10101
11948,1307
11724,6883
8176,3368
11589,18346
13316,5064
7757,5324
5801,13510
812,5877
10885,13491
8131,8742
5216,3542
12535,1268
15423,7288
6539,15083
11457,10000
7457,7304
775,6328
13056,10756
9129,2274
9146,11506
16692,13096
17570,10851
904,3779
8559,5851
19024,8698
1253,3552
19548,14239
11327,10278
14299,19864
16758,3789
12622,18893
6228,8346
1454,14288
55,17036
17643,6456
11934,14132
2292,10819
10286,4083
9840,16617
10134,13382
10688,13185
9688,18166
4170,6286
13777,12423
5702,18648
9861,13306
17954,13
9957,9401
6887,14086
19004,19879
10559,15236
14476,14488
7002,16750
15505,5560
2778,9299
16890,10983
3060,7696
10171,7361
6525,4828
800,1514
8023,15569
2386,14923
13580,18863
6371,12582
16199,13095
7994,4835
181,3492
13931,7170
5763,16972
15222,1645
18265,8165
3976,14957
4369,15225
17404,18314
19511,10397
14502,16540
13983,17952
14611,5215
15554,14747
8493,8101
9086,17081
15879,7839
8998,14413
2538,9362
7683,8903
11005,10476
17699,2640
4534,4942
7577,12551
5007,7010
2104,13594
13356,10842
17780,15267
13624,2040
6777,13767
12762,19139
640,18864
12464,15629
193,11526
9784,12779
13730,17636
17895,19767
7226,15998
7190,8943
14281,15913
951,12742
11014,13248
5408,15315
4182,17502
883,12911
19395,18493
888,2750
14044,4446
15128,5954
1647,8524
12422,10726
6935,14899
10710,11059
12423,9117
13813,8266
2683,15411
635,17675
1706,11467
7347,2248
1319,1016
8102,6532
667,4993
7816,4136
15517,3748
18480,7142
15238,8396
12087,5498
19853,19898
3753,5366
10192,3542
18962,841
10222,18867
12298,12997
6498,2490
19401,7957
3339,9882
19674,3966
18544,1345
11377,17456
14037,12142
2259,16579
11181,414
13764,16062
3458,14205
11868,15064
5013,14270
5771,17096
8850,17634
15843,15232
14272,19414
8794,10561
8044,2839
9139,14771
7990,15227
18672,19999
12418,11023
940,16197
10650,5958
15976,6950
11626,8465
11152,9163
19534,9052
18212,332
16928,6260
2805,7908
13317,16009
18192,7874
15600,16083
14685,565
3049,9641
7261,13251
7972,10033
19056,12092
15507,18136
17397,11264
13942,18035
10839,11528
14868,8877
10047,8237
7554,3953
6310,10339
3917,17559
6066,6276
7090,15866
9060,19319
17191,19555
9273,3294
6360,9707
7454,11825
5879,9904
463,17502
4147,8988
1491,1786
18132,9572
4137,16085
3361,401
18810,9317
15381,15686
14433,11164
6041,1683
8273,15654
3738,2141
13130,16113
2427,18907
1756,4971
4888,18443
9956,2791
8132,3881
18286,13637
19867,19533
7395,17123
12464,14762
14507,9743
19284,14051
10006,18632
1973,19976
3251,6808
6914,8671
2660,5146
7859,5695
18087,2459
5129,87
13386,14762
19458,15398
9543,1069
7585,9440
9264,14877
2332,7648
8668,19326
6482,13930
3760,17844
7366,4882
8704,4660
2339,1954
5436,10079
19498,18651
9457,14390
4074,15358
9964,13189
8920,16399
17694,16180
14344,2635
19596,1306
14156,10561
19782,8204
847,2992
7501,18848
19238,679
8831,18882
1318,5740
15417,17005
14490,9114
5947,19180
14283,16112
2989,15401
11401,13380
10921,10520
3427,5269
10807,13488
16235,9444
13122,18025
1202,14903
2885,10306
8270,10593
3798,13244
16862,37
17779,15138
13541,1776
6146,16988
11854,16334
14484,1691
6670,8750
17996,4293
9438,14356
15883,3978
945,19951
7841,5189
10182,18049
448,18096
13369,3054
7362,3717
15120,3849
5045,16330
9563,16674
8959,13614
15810,15473
7986,14967
18063,4739
12569,6245
19640,16654
4473,2287
9052,13596
11137,16637
8754,84
9268,9783
19232,19002
16044,4869
14632,17648
15870,11309
10893,18085
17807,12360
14920,10544
6181,7825
18736,12549
7653,13460
1430,10426
15498,12492
12651,4984
16230,1213
4136,16459
19339,10878
3288,14427
3267,17234
14972,502
4723,13434
5058,2451
15384,8684
11093,13024
2631,10766
17485,12452
10376,15989
17728,1176
2242,7692
9416,7454
2961,14220
3225,3293
14538,5451
9812,948
1507,10629
1838,9613
11746,12282
14112,4770
8001,17405
13502,18544
5900,5570
5736,2587
19971,12535
7891,16307
19108,4689
7608,15110
8322,15059
8366,307
15245,9425
17910,5176
2420,14474
11323,19253
9802,13903
8195,14969
9899,6527
12605,15833
3494,7772
12496,18740
11762,18835
9695,9674
718,12969
8994,265
18544,1607
19870,16276
9378,7540
19892,11544
7176,6230
8212,4481
3183,1291
10123,14444
1093,18991
11955,4306
2953,9670
10705,13615
5755,6579
4330,17675
11988,17394
16442,8930
5391,8420
15789,9671
11099,3773
15346,2467
4612,7392
13022,18262
11985,2959
12929,456
8665,17582
4049,14902
12077,8590
19154,12485
12172,3550
7661,15449
820,18396
10748,19991
7253,2071
15213,9902
13379,3823
4580,1485
1219,9973
16142,3805
3184,7693
17614,4445
12735,14864
12157,17701
13733,19245
5063,13594
3244,16034
13373,9166
1072,12141
7119,14528
14571,7736
11884,3255
12036,17841
11753,1984
13046,9040
6219,4002
14900,3003
6950,19567
699,1657
10928,7981
4126,18500
6724,2248
18160,6788
19214,7076
7634,10766
4835,19529
92,9085
4741,4259
17701,8213
5717,3602
844,4318
486,11738
7796,19295
10609,517
5709,8695
1717,4153
13794,17238
3724,2082
15605,14689
11863,16817
19453,3573
14811,16509
7259,1420
17086,9883
15009,1020
1993,15695
13160,13968
3537,16065
14534,2408
2647,10554
19932,4860
2152,4135
9011,19181
